aspect,description,sentiment
bag,fine,0.4166666666666667
maintenance,last,0.0
queue,different,0.0
fix,improvement,0.0
cod,really excited,0.375
choice,ready,0.2
trash,next,0.0
fun,great,0.8
stay,good,0.7
campaign,rug,0.0
year,furry,0.0
end,hard,-0.2916666666666667
attack,triple,0.0
campaign,relatively long,-0.05
effort,original,0.375
community,sorry,-0.5
duty,bad,-0.6999999999999998
mastery,poppy,0.0
couple,right,0.2857142857142857
venus,unite,0.0
review,negative,-0.3
crash,several,0.0
company,many,0.5
sum,good,0.7
clot,great,0.8
problem,whole,0.2
model,bad,-0.6999999999999998
wall,awful,-1.0
multiplayer,fine,0.4166666666666667
people,fun,0.3
bag,much cheap,0.4
reinstate,bad,-0.6999999999999998
activision,funny,0.25
people,much cool,0.35
breaker,negative,-0.3
warne,new,0.13636363636363635
gun,random,-0.5
friend,bad,-0.6999999999999998
challenge,unplayable,-0.4
love,old,0.1
content,worth,0.3
campaign,amazing,0.6000000000000001
order,certain,0.21428571428571427
point,main,0.16666666666666666
people,rare,0.3
dialogue,many,0.5
nerve,stupid,-0.7999999999999999
wonder,many,0.5
animation,sound,0.4
multiplayer,great,0.8
repeat,severe,0.0
frustration,aware,0.25
time,great,0.8
developer,well,0.0
name,modern,0.2
map,especially old,0.2
force,good,0.7
battle,little,-0.1875
suck,random,-0.5
launch,fortunate,0.4
lane,graphic,0.0
pointsgame,bad,-0.6999999999999998
player,ridiculous,-0.3333333333333333
frustration,much,0.2
player,low,0.0
person,many,0.5
ward,sorry,-0.5
gameplay,last,0.0
consumer,happy,0.8
people,narrowminded,0.0
income,predictable,-0.2
gaze,uncomfortable,-0.5
help,piecemeal,0.0
system,gross,0.0
company,charitable,0.6
investment,happy,0.8
money,justifiable,0.0
case,many,0.5
developer,complete,0.1
product,happy,0.8
deliver,distrustful,0.0
satisfy,early,0.1
people,good,0.7
community,social,0.03333333333333333
release,complete,0.1
campaign,constant,0.0
soap,single,-0.07142857142857142
love,due,-0.125
people,good,0.7
ward,good,0.7
option,stealth,0.0
mouse,much,0.2
mission,interesting,0.5
corner,random,-0.5
road,middle,0.0
movement,due,-0.125
gun,many,0.5
gun,equal,0.0
multiplayer,multiple,0.0
map,decent,0.16666666666666666
movement,good,0.7
movement,previous,-0.16666666666666666
lot,potential,0.0
point,good,0.7
change,new,0.13636363636363635
ardor,able,0.5
developer,bad,-0.6999999999999998
aspect,less,-0.16666666666666666
match,able,0.5
kill,dead,-0.2
launch,real,0.2
gentleman,articulate,0.0
cigarette,high,0.16
tree,unnecessary,-0.4
map,single,-0.07142857142857142
shame,entirely laziness,0.0
release,positive,0.22727272727272727
lip,slow,-0.30000000000000004
scar,high,0.16
story,good,0.7
cod,favorite,0.5
downfall,real,0.2
launch,graphic,0.0
thought,first,0.25
bubble,live,0.13636363636363635
joke,finished,0.0
map,decent,0.16666666666666666
crash,unlimited,0.0
cod,next,0.0
voice,unavailablemap,0.0
help,attachment,0.0
play,religious,0.0
change,smooth,0.4
launch,current,0.0
time,smooth,0.4
gun,good,0.7
time,high,0.16
multiplayer,great,0.8
shit,degenerate,0.0
half,available,0.4
version,free,0.4
name,extremely efficient,-0.125
people,good,0.7
lot,realistic,0.16666666666666666
garage,complete,0.1
launch,bad,-0.6999999999999998
experience,ever incomplete,0.0
shotgun,snipersrpg,0.0
update,new,0.13636363636363635
game,horrendous,0.0
help,great,0.8
cap,even bad,-0.6999999999999998
map,lazy,-0.25
party,small,-0.25
force,modern,0.2
title,big,0.0
support,less,-0.16666666666666666
player,slow,-0.30000000000000004
location,however solid,0.0
making,pretty good,0.475
wish,stable,0.0
vanguard,interested,0.25
fuming,tall,0.0
time,long,-0.05
game,real,0.2
area,pet,0.0
world,real,0.2
cause,fast,0.2
lot,grande,0.0
e,old,0.1
time,annoying,-0.8
grenade,much,0.2
attack,second,0.0
team,useless,-0.5
ability,annoying,-0.8
point,such,0.0
person,clear,0.10000000000000002
trick,matter distant,-0.1
play,worth,0.3
battlefield,old,0.1
gun,amazing,0.6000000000000001
campaign,worth,0.3
clash,first,0.25
warne,bad,-0.6999999999999998
campaign,aware,0.25
problem,well balanced,0.0
content,much,0.2
series,really excited,0.375
landing,tense,-0.3333333333333333
force,insanely fun,0.3
system,well awful,-1.0
end,physically select,0.0
people,annoying,-0.8
guy,counter,0.0
people,second,0.0
campaign,awful,-1.0
mission,keybind,0.0
history,least,-0.3
crash,unplayable,-0.4
people,innocent,0.5
temp,high,0.16
school,terrible,-1.0
cod,new,0.13636363636363635
cod,last,0.0
clash,unfinished,0.0
prepare,next,0.0
timeout,constant,0.0
time,last,0.0
mind,multiple,0.0
ink,soft,0.1
time,kind,0.6
saying,old,0.1
dad,good,0.7
stitch,many,0.5
shovelware,triple,0.0
multiplayer,however distressful,0.0
difficulty,well,0.0
aim,useful,0.3
people,good,0.7
take,low,0.0
product,final,0.0
charge,least,-0.3
original,live,0.13636363636363635
missile,new,0.13636363636363635
content,exorbitant,0.0
issue,average,-0.15
game,extra,0.0
trace,terrible,-1.0
map,dull,-0.2916666666666667
gameplay,stable,0.0
tell,stable,0.0
north,even mad,-0.625
crash,first,0.25
arm,dead,-0.2
team,many,0.5
gunplay,ever worthy,0.3333333333333333
look,interesting,0.5
levelingcustomization,pretty cool,0.3
level,slow,-0.30000000000000004
part,always good,0.7
increase,excited,0.375
system,fair,0.7
access,early,0.1
option,good,0.7
aim,many,0.5
system,sure,0.5
release,new,0.13636363636363635
title,first,0.25
people,wrong,-0.5
use,maybe payable,0.0
spot,spain,0.0
play,last,0.0
game,punish,0.0
friend,unplayable,-0.4
map,old,0.1
state,mixed,0.0
content,beautiful,0.85
sale,nice,0.6
cod,enough,0.0
attempt,inappropriate,0.0
product,many,0.5
campaign,good,0.7
op,original,0.375
work,normal,0.15
mode,single,-0.07142857142857142
issue,kind,0.6
mission,entire,0.0
default,special,0.35714285714285715
validity,fail,-0.5
people,first,0.25
gun,tactical,0.0
match,lose,0.0
people,many,0.5
team,black,-0.16666666666666666
banner,random,-0.5
map,future,0.0
problem,mad,-0.625
thing,pretty good,0.475
study,triple,0.0
cocain,even able,0.5
criterion,really good,0.7
people,good,0.7
frustration,unbearable,0.0
price,worth,0.3
game,last,0.0
play,bad,-0.6999999999999998
graphic,steady,0.16666666666666666
stability,bad,-0.6999999999999998
work,useless,-0.5
map,slow,-0.30000000000000004
team,bad,-0.6999999999999998
activision,payable,0.0
want,good,0.7
fun,fresh,0.3
look,good,0.7
clinch,almost unplayable,-0.4
map,little,-0.1875
release,new,0.13636363636363635
community,classic,0.16666666666666666
sweat,high,0.16
face,previous,-0.16666666666666666
time,triple,0.0
stem,open,0.0
title,almost identical,0.0
skill,next,0.0
remorse,enough,0.0
problem,past,-0.25
sweat,fun,0.3
fun,single,-0.07142857142857142
stop,full,0.35
work,good,0.7
gun,new,0.13636363636363635
crash,battlefieldlite,0.0
start,addicted,-0.4
cod,pure,0.21428571428571427
money,much,0.2
want,hard,-0.2916666666666667
earth,worth,0.3
developer,current,0.0
optimization,great,0.8
content,new,0.13636363636363635
finish,enough,0.0
people,tired,-0.4
people,much,0.2
weapon,quiet,0.0
liff,still fun,0.3
grind,good,0.7
gun,good,0.7
controller,legal,0.2
patch,clash,0.0
hope,little,-0.1875
time,fairly decent,0.16666666666666666
thing,exact,0.25
ban,false,-0.4000000000000001
banner,true,0.35
people,crazy,-0.6
campaign,armed,0.0
type,classic,0.16666666666666666
design,first,0.25
server,free,0.4
issue,modern,0.2
opinion,low,0.0
gun,horrendously,0.0
state,absolutely shameless,0.2
date,sure,0.5
duty,slow,-0.30000000000000004
thing,boring,-1.0
company,resist,0.0
people,rapid,0.0
team,absolutely spain,0.2
spot,straight,0.2
cod,usual,-0.25
fix,last,0.0
level,way slow,-0.30000000000000004
history,pretty good,0.475
gun,enough,0.0
thing,good,0.7
fuck,far,0.1
ass,own,0.6
time,special,0.35714285714285715
developer,pathetic,-1.0
corner,impossible,-0.6666666666666666
stage,polished,0.0
stitch,compare,0.0
wish,random,-0.5
experience,much,0.2
child,modern,0.2
buy,many,0.5
cod,good,0.7
casermarhino,terrible,-1.0
fun,second,0.0
driver,late,-0.3
closet,wooden,0.0
launch,gamehardcore,0.0
turn,playerscant,0.0
warne,unpaid,0.2
rush,revolutionary,0.0
line,really sad,-0.5
fun,old,0.1
crash,org,0.0
screen,black,-0.16666666666666666
boot,graphic,0.0
campaign,amazing,0.6000000000000001
time,certain,0.21428571428571427
gutta,stupid,-0.7999999999999999
enemy,permanentlythe,0.0
depression,small,-0.25
thing,pretty good,0.475
fact,old,0.1
map,really solid,0.0
release,acceptable,0.0
system,actually unable,-0.5
mother,good,0.7
conceal,complete,0.1
control,parachute,0.0
action,entirely different,0.0
overlap,entirely impossible,-0.6666666666666666
enemy,friendly,0.375
wall,friendly,0.375
gamemode,dumb,-0.375
cap,awful,-1.0
aim,entirely full,0.35
fuck,aware,0.25
scale,big,0.0
steam,net,0.0
hawker,random,-0.5
banner,random,-0.5
match,terrible,-1.0
bag,triple,0.0
year,still solid,0.0
match,many,0.5
nostalgia,main,0.16666666666666666
purchase,updatesworst,0.0
man,good,0.7
match,great,0.8
steam,perfect,1.0
weapon,new,0.13636363636363635
time,fast,0.2
time,fast,0.2
people,blind,-0.5
sweat,super,0.3333333333333333
game,pro,0.0
theater,disable,0.0
way,easy,0.43333333333333335
flag,full,0.35
work,outrageous,-1.0
report,modern,0.2
boy,unfinished,0.0
stuff,first,0.25
reason,main,0.16666666666666666
cod,rather annual,0.0
activision,high,0.16
fun,current,0.0
screen,constant,0.0
experience,miserable,-1.0
name,modern,0.2
vanguard,black,-0.16666666666666666
kiss,ready,0.2
couple,overall,0.0
donna,mad,-0.625
work,relevant,0.4
mug,hard,-0.2916666666666667
review,negative,-0.3
shot,platino,0.0
decide,second,0.0
campaign,least,-0.3
person,old,0.1
solution,horrible,-1.0
optimism,many,0.5
retail,available,0.4
game,bad,-0.6999999999999998
mw2019,main,0.16666666666666666
clash,constant,0.0
studio,triple,0.0
caper,willing,0.25
cord,bad,-0.6999999999999998
gun,completely irrelevant,-0.5
map,different,0.0
fuck,loud,0.1
none,exciting,0.3
fuck,streak,0.0
name,simplistic,-0.5
aim,previous,-0.16666666666666666
fuck,strong,0.4333333333333333
war,battlefield,0.0
supper,next,0.0
time,blind,-0.5
change,little,-0.1875
team,different,0.0
change,flat,-0.025
treyarc,worth,0.3
pub,first,0.25
campaign,worth,0.3
time,sad,-0.5
chat,emotional,0.0
gunplay,really good,0.7
cod,bad,-0.6999999999999998
rifle,fast,0.2
account,terrible,-1.0
client,open,0.0
issue,annoying,-0.8
build,terrible,-1.0
people,real,0.2
hobby,several,0.0
filter,hot,0.25
base,tactic,0.0
hawker,full,0.35
people,definitely bad,-0.6999999999999998
people,bad,-0.6999999999999998
nostalgia,new,0.13636363636363635
change,bad,-0.6999999999999998
system,politic,0.0
expectation,always low,0.0
developer,much,0.2
status,far,0.1
concern,main,0.16666666666666666
legend,other,-0.125
buy,probably worth,0.3
game,bad,-0.6999999999999998
people,useful,0.3
year,decent,0.16666666666666666
map,decent,0.16666666666666666
fun,decent,0.16666666666666666
map,realistic,0.16666666666666666
singer,valiant,0.0
time,explosive,0.0
story,almost finish,0.0
graphic,cut,0.0
cod,far amazing,0.35000000000000003
cod,really good,0.7
fix,good,0.7
people,yet complex,-0.3
duty,horrible,-1.0
mission,single,-0.07142857142857142
op,disabled,-0.2
progression,huge,0.4000000000000001
dollar,beta absolutely ridiculous,-0.3333333333333333
platino,gross,0.0
future,extensive,0.0
enemy,laughable,-0.5
system,due,-0.125
gun,downright idiotic,-0.6666666666666666
people,worth,0.3
snip,headshot,0.0
problem,liable,-0.1
performance,payable,0.0
straying,many,0.5
player,single,-0.07142857142857142
arrive,logic,0.0
steam,first,0.25
give,good,0.7
team,well,0.0
part,unable,-0.5
friend,far bad,-0.29999999999999993
concealing,really good,0.7
shit,perfect,1.0
garage,positive,0.22727272727272727
fine,little,-0.1875
trip,really good,0.7
stitch,maybe cheap,0.4
wish,second,0.0
match,true,0.35
cap,better,0.5
shade,painless,0.0
community,arguably bad,-0.6999999999999998
campaign,entire,0.0
mode,select,0.0
everytime,frequent,0.1
dollar,first,0.25
series,ugly,-0.7
joke,middle,0.0
bag,retail,0.0
heart,previous,-0.16666666666666666
level,boring,-1.0
zone,hard,-0.2916666666666667
comply,old,0.1
industry,new,0.13636363636363635
watch,snap,0.0
play,human,0.0
match,treat,0.0
people,little,-0.1875
ward,tactical,0.0
people,many,0.5
file,lower,0.0
force,single,-0.07142857142857142
week,less,-0.16666666666666666
fire,past,-0.25
layer,lose,0.0
campaign,possibly bad,-0.6999999999999998
connection,possible,0.0
multiplayer,classic,0.16666666666666666
fun,various,0.0
purchase,frankly regret,0.0
system,unlock,0.0
button,multiple,0.0
sweat,much,0.2
weapon,red,0.0
map,bad,-0.6999999999999998
want,orchard,0.0
map,good,0.7
kiss,top,0.5
mission,previous,-0.16666666666666666
detail,short,0.0
blow,certain,0.21428571428571427
gun,good,0.7
gun,little,-0.1875
receiver,specific,0.0
platform,specific,0.0
foot,free,0.4
settingplaylist,able,0.5
singer,powerful,0.3
nonheadshot,less,-0.16666666666666666
people,good,0.7
stability,huge,0.4000000000000001
future,scrapyard,0.0
nostalgia,open,0.0
attachment,single,-0.07142857142857142
page,stumble,-0.05
issue,minimal,-0.1
3080ti,set,0.0
precision,random,-0.5
enemy,dumb,-0.375
base,glad,0.5
cod,recent,0.0
game,real,0.2
player,respectful,0.5
word,warm,0.6
release,actual,0.0
feature,negative,-0.3
watch,much,0.2
title,minimum,0.0
give,even worth,0.3
point,past,-0.25
help,close,0.0
patrol,far,0.1
proceed,atrocious,-0.7
asshole,greedy,0.0
gun,bad,-0.6999999999999998
tier,top,0.5
product,constantly unacceptable,0.0
multiplayer,lazy,-0.25
moment,long,-0.05
shudder,unable,-0.5
tooth,cool,0.35
state,current,0.0
work,dogshit,0.0
aspect,casual,-0.5000000000000001
movement,sluggish,0.0
pawn,decent,0.16666666666666666
company,somehow bad,-0.6999999999999998
space,high,0.16
stitch,pretty good,0.475
story,too good,0.7
camp,good,0.7
player,full,0.35
player,modern,0.2
reasoning,official,0.0
handle,incoherent,-0.20000000000000004
beta,accessible,0.375
man,fatty,-0.2
game,typical,-0.16666666666666666
game,worth,0.3
tag,ridiculous,-0.3333333333333333
fun,fast,0.2
issue,new,0.13636363636363635
multiplayer,constant,0.0
time,real,0.2
issue,last,0.0
plan,literal,0.0
turn,entire,0.0
girl,minimum,0.0
voice,toxic,0.0
crash,first,0.25
friend,right rather huge,0.34285714285714286
change,first,0.25
freeze,constant,0.0
fun,ill,-0.5
battle,competitive,0.0
experience,giggleinducing,0.0
pass,enable,0.0
diagnosis,bankrupt,0.0
operation,small,-0.25
family,financial,0.0
hand,fail,-0.5
rise,dear,0.0
activity,criminal,-0.4
hand,hurt,0.0
series,able,0.5
cause,ready,0.2
buy,ill,-0.5
campaign,good,0.7
campaign,fucking,-0.6
friend,many,0.5
campaign,solid,0.0
charge,extra,0.0
multiplayer,next,0.0
people,similar,0.0
cloud,last,0.0
pastime,due,-0.125
multiplayer,fairly fun,0.3
aim,good,0.7
camping,good,0.7
head,actual,0.0
die,last,0.0
peak,overall,0.0
force,useful,0.3
peter,right next,0.14285714285714285
silence,active,-0.13333333333333333
sense,really fast,0.2
joy,ill,-0.5
fun,well least,-0.3
people,great,0.8
crash,good,0.7
cod,sweet,0.35
pace,graphic,0.0
guy,round,-0.2
tm,objective,0.0
case,good,0.7
gun,good,0.7
phrase,bad,-0.6999999999999998
game,graphic,0.0
love,overall,0.0
play,social,0.03333333333333333
demolish,disabled,-0.2
mind,feeble,-0.5
system,lower,0.0
threshold,low,0.0
experience,main,0.16666666666666666
balance,atrocious,-0.7
campaign,beautiful,0.85
urge,racial,0.0
state,current,0.0
system,bad,-0.6999999999999998
survive,free,0.4
queue,tear,0.0
industry,free,0.4
playerbase,stale,-0.5
vote,still fun,0.3
leave,dull,-0.2916666666666667
buy,different,0.0
memory,old,0.1
map,favorite,0.5
good,modern,0.2
version,weird,-0.5
offer,new,0.13636363636363635
launch,least,-0.3
game,good,0.7
state,complete,0.1
hackercheater,solid,0.0
game,bad,-0.6999999999999998
issue,technical,0.0
education,giant,0.0
multiplayer,personal,0.0
plateau,due,-0.125
hobbie,least dedicated,-0.3
use,consistent,0.25
weapon,poor,-0.4
point,awful,-1.0
clash,constant,0.0
sale,worth,0.3
campaign,pretty great,0.525
multiplayer,achievable,0.0
challenge,slightly different,0.0
grind,worth,0.3
lot,much,0.2
crash,stupid,-0.7999999999999999
recommendation,stable,0.0
crash,relevant,0.4
place,cool,0.35
life,much,0.2
producer,worth,0.3
movement,positive,0.22727272727272727
room,available,0.4
pus,full,0.35
base,competitive,0.0
clock,good,0.7
base,much,0.2
error,constant,0.0
playlist,top,0.5
title,acceptable,0.0
warfare,modern,0.2
play,new,0.13636363636363635
developer,well complete,0.1
people,good,0.7
plot,super,0.3333333333333333
look,original,0.375
potential,bad,-0.6999999999999998
release,realistic,0.16666666666666666
staying,realistic,0.16666666666666666
conceal,close,0.0
warfare,huge,0.4000000000000001
people,modern,0.2
u,bad,-0.6999999999999998
hack,fast slow,-0.05000000000000002
cutscene,active,-0.13333333333333333
bag,minor,-0.05
people,loud,0.1
bone,miss,0.0
pawn,bad,-0.6999999999999998
community,also bad,-0.6999999999999998
sweat,due,-0.125
warne,right,0.2857142857142857
push,better,0.5
people,even rival,0.0
weapon,attachmentswhy many,0.5
enemy,dumb,-0.375
love,great,0.8
people,whole,0.2
multiplayer,absolutely awful,-1.0
person,next,0.0
regeneration,horribly slow,-0.30000000000000004
luck,white,0.0
stitch,multiple,0.0
quality,yearly,0.0
review,great,0.8
friend,plenty,0.0
play,black,-0.16666666666666666
crash,many,0.5
inclination,first,0.25
dice,unfinished,0.0
mode,outside,0.0
hope,stupid,-0.7999999999999999
amount,second,0.0
system,enjoyable,0.5
gun,initial,0.0
multiplayer,great,0.8
hour,prime,0.0
concern,least,-0.3
voice,welcome,0.8
campaign,great,0.8
money,happy,0.8
people,great,0.8
work,empty,-0.1
fun,plain,-0.21428571428571427
